CodeClient,DateCreation,SecteurCo,SecteurAct,NivSupp1,NivSupp2
1197,11/2/2011,80,FAB,,
1198,11/2/2011,70,N,G1097,G0014
1199,11/2/2011,80,FAB,,
1201,11/2/2011,80,N,G1108,G1016
1202,11/2/2011,80,N,G1108,G1016
1206,11/2/2011,70,FAB,,
1208,11/2/2011,50,N,G1089,G0038
1209,11/2/2011,80,N,,
1211,11/2/2011,91,FAB,,
1212,11/2/2011,50,N,G1089,G0038
1213,11/2/2011,50,GSB,G1123,G0030
1214,11/2/2011,70,N,G1075,G0052
1216,11/2/2011,70,N,G1094,G0014
1218,11/2/2011,90,N,,
1222,11/2/2011,40,FAB,G1128,G0049
1223,11/2/2011,70,N,G1032,G0014
1224,11/2/2011,50,N,g1109,G1016
1225,11/2/2011,70,FEN,,
1227,11/2/2011,70,N,G1089,G0038
1228,11/2/2011,50,FAB,,
1229,11/2/2011,40,N,G1012,G1137
1231,11/2/2011,50,N,G1029,G0052
1234,5/21/2012,40,N,,
1236,11/2/2011,70,N,G1089,G0038
1238,11/2/2011,40,N,G1012,G1137
1239,11/2/2011,50,N,G1047,G0021
1241,11/2/2011,70,N,G1037,G0061
1242,11/2/2011,80,FEN,,
1243,11/2/2011,40,N,G1106,G1016
1244,11/2/2011,40,N,G1093,G0014
1246,11/2/2011,40,N,G1060,G0014
1247,11/2/2011,40,N,G1037,G0061
1248,11/2/2011,70,N,G1093,G0014
1250,11/2/2011,90,N,G1019,G0001
1251,11/2/2011,70,N,G1077,G0052
1252,11/2/2011,70,N,G1075,G0052
1254,11/2/2011,50,GSB,G1123,G0030
1256,5/16/2012,50,N,G1082,G0052
1257,11/2/2011,40,N,G1080,G0052
1258,11/2/2011,70,N,G1089,G0038
1260,11/2/2011,40,N,G1107,G1016
1261,11/2/2011,90,N,G1019,G0001
1262,11/2/2011,50,N,G1025,G0001
1264,11/2/2011,40,N,G1107,G1016
1266,11/2/2011,50,N,G1081,G0052
1267,11/2/2011,70,N,G1094,G0014
1269,11/2/2011,50,N,G1029,G0052
1270,11/2/2011,80,N,G1100,G0038
1272,11/2/2011,50,N,G1135,G0070
1273,11/2/2011,50,N,G1089,G0038
1274,11/2/2011,70,N,G1012,G1137
1275,11/2/2011,70,N,G1105,G0001
1277,11/2/2011,40,N,G1080,G0052
1278,11/2/2011,70,GSB,G1123,G0030
1279,11/2/2011,70,N,G1089,G0038
1284,11/2/2011,40,N,G1080,G0052
1288,11/2/2011,50,N,G1122,G0036
1289,11/2/2011,50,N,G1089,G0038
1290,11/2/2011,40,N,G1097,G0014
1291,11/2/2011,40,N,G1080,G0052
1292,11/2/2011,70,GSB,G1123,G0030
1294,11/2/2011,50,N,G1081,G0052
1295,11/2/2011,70,N,G1106,G1016
1297,11/2/2011,0,FAB,G1120,G0026
1298,11/2/2011,50,N,G1025,G0001
1299,11/2/2011,80,N,G1060,G0014
1300,11/2/2011,50,FAB,G1119,G0025
1301,11/2/2011,40,N,G1060,G0014
1302,11/2/2011,40,N,G1029,G0052
1305,11/2/2011,50,N,G1081,G0052
1306,11/2/2011,70,N,G1012,G1137
1307,11/2/2011,40,N,g1106,G1016
1310,11/2/2011,40,N,G1018,G0001
1311,11/2/2011,80,N,G1012,G1137
1312,11/2/2011,10,N,G1012,G1137
1314,11/2/2011,50,FEN,G1111,G0003
1321,11/2/2011,50,N,G1112,G0012
1322,11/2/2011,40,N,G1080,G0052
1323,11/2/2011,70,N,G1077,G0052
1326,11/2/2011,40,GSB,G1123,G0030
1327,11/2/2011,50,N,G1082,G0052
1330,11/2/2011,40,N,G1029,G0052
1331,11/2/2011,90,GSB,G1123,G0030
1333,11/2/2011,50,GSB,G1123,G0030
1334,11/2/2011,50,N,G1025,G0001
1336,11/2/2011,50,N,,
1338,11/2/2011,50,N,G1025,G0001
1340,11/2/2011,80,N,G1083,G0052
1341,11/2/2011,40,N,G1047,G0021
1342,11/2/2011,50,N,G1089,G0038
1343,11/2/2011,70,N,G1077,G0052
1345,11/2/2011,40,N,G1083,G0052
1346,11/2/2011,50,N,G1097,G0014
1347,11/2/2011,50,FEN,,
1349,11/2/2011,70,N,G1037,G0061
1351,11/2/2011,70,N,G1105,G0001
